更新时间,#genre#
20260323-05-35-37,url


RespoTime,whitelist,#genre#
490.74ms,CCTV1,http://219.156.91.5:4022/rtp/225.1.4.73:1102
544.44ms,CCTV1,http://115.171.80.124:1688/rtp/225.1.8.210:8068
546.43ms,CCTV1,http://171.119.205.198:6000/rtp/226.0.2.153:9136
548.53ms,CCTV1,http://223.198.243.233:4000/rtp/239.253.64.120:5140
548.19ms,CCTV1,http://171.8.84.159:8800/rtp/239.16.20.1:10010
544.23ms,CCTV1,http://115.171.216.58:4000/rtp/225.1.8.81:8176
544.94ms,CCTV1,http://115.171.216.58:4000/rtp/225.1.8.33:8002
533.68ms,CCTV1,http://115.171.216.58:4000/rtp/225.1.8.210:8068
547.75ms,CCTV1,http://115.171.216.58:4000/rtp/225.1.8.1:8008
561.81ms,CCTV1,http://124.112.240.179:4022/rtp/238.1.78.166:7200
562.82ms,CCTV1,http://106.87.51.33:8888/rtp/235.254.198.51:1480
564.57ms,CCTV1,http://115.171.80.124:1688/rtp/225.1.8.81:8176
585.68ms,CCTV1,http://60.4.29.183:8077/rtp/239.253.92.83:8012
87.70ms,CCTV1,https://t.freetv.fun/live/cctv-1gao-qing-1.m3u8
395.88ms,CCTV1,http://120.211.62.180:8000/hls/1/index.m3u8
479.89ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.126:8002
489.00ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.81:8176
493.98ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.53:8060
507.40ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.194:4120
502.05ms,CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
522.21ms,CCTV1,http://112.123.206.32:808/hls/1/index.m3u8
501.61ms,CCTV1,http://8.138.7.223/【公众号：榴芒电视】/cctv1.m3u8
1259.42ms,CCTV1,http://115.171.216.58:4000/rtp/225.1.8.53:8060
1262.94ms,CCTV1,http://115.171.80.124:1688/rtp/225.1.8.194:4120
1266.63ms,CCTV1,http://115.171.80.124:1688/rtp/225.1.8.1:8008
55.61ms,CCTV1,http://107.150.60.122/live/cctv1hd.m3u8
117.55ms,CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
57.70ms,CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
185.16ms,CCTV1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
1518.75ms,CCTV1,http://115.171.216.58:4000/rtp/225.1.8.194:4120
1523.15ms,CCTV1,http://115.171.80.124:1688/rtp/225.1.8.53:8060
1531.02ms,CCTV1,http://115.171.80.124:1688/rtp/225.1.8.33:8002
501.34ms,CCTV1,http://120.76.248.139/live/bfgd/4200000484.m3u8
510.26ms,CCTV1,http://120.76.248.139/live/bfgd/4200000488.m3u8
542.04ms,CCTV1,http://113.15.109.216:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
611.61ms,CCTV1,http://120.76.248.139/live/bfgd/4200000489.m3u8
1233.06ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.1:8008
619.08ms,CCTV1,http://120.76.248.139/live/bfgd/4200000201.m3u8
1230.73ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.210:8068
1234.06ms,CCTV1,http://115.171.216.84:4000/rtp/225.1.8.33:8002
44.70ms,CCTV1,https://t.freetv.fun/live/cctv1-4.m3u8
381.41ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=14
309.32ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=16
310.02ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=6
1438.40ms,CCTV1,https://t.freetv.fun/live/cctv1-1.php
2526.20ms,CCTV1,http://115.171.216.58:4000/rtp/225.1.8.126:8002
546.97ms,CCTV1,http://106.59.2.11:55555/rtp/239.200.200.14:8852
1833.10ms,CCTV1,http://183.11.239.36:808/hls/19/index.m3u8
557.62ms,CCTV1,http://106.59.2.11:55555/rtp/239.200.200.2:8080
1575.47ms,CCTV1,http://222.169.85.8:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
1332.60ms,CCTV1,http://222.214.208.34:59901/tsfile/live/0001_1.m3u8
48.28ms,CCTV1,https://t.freetv.fun/live/cctv1-3.m3u8
2478.52ms,CCTV1,https://t.freetv.fun/live/cctv1-2.php
47.16ms,CCTV1,https://t.freetv.fun/live/cctv1-2.m3u8
552.14ms,CCTV1,http://106.59.2.11:55555/rtp/239.200.200.117:8712
39.71ms,CCTV1,https://t.freetv.fun/live/cctv1-6.m3u8
52.19ms,CCTV1,https://t.freetv.fun/live/cctv1-5.php
42.97ms,CCTV1,https://t.freetv.fun/live/cctv1-9.m3u8
43.90ms,CCTV1,https://t.freetv.fun/live/cctv1-7.m3u8
44.87ms,CCTV1,https://t.freetv.fun/live/cctv-1gao-qing.m3u8
237.99ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=17
95.52ms,CCTV1,http://38.75.136.137:98/gslb/dsdqca/cctv1hd.m3u8?auth=test20251009
48.76ms,CCTV1,https://t.freetv.fun/live/cctv1-10.m3u8
43.87ms,CCTV1,https://t.freetv.fun/live/cctv1-5.m3u8
541.05ms,CCTV1,http://106.59.2.11:55555/rtp/239.200.201.45:8800
2170.70ms,CCTV1,http://iptv.4666888.xyz/iptv2A.php?id=7
297.67ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=10
231.76ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=8
328.88ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=1
364.50ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=11
375.15ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=2
379.98ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=3
368.90ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=5
3089.16ms,CCTV1,http://www.cdnstv.com:6398/hls/1/index.m3u8
249.14ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=13
264.40ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=9
276.64ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=12
323.38ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=7
281.52ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=15
242.76ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1
281.27ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=18
240.66ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV1&line=19
305.13ms,CCTV1,https://iptv.catvod.com/live.php?id=CCTV-1
3630.56ms,CCTV1,http://8.138.7.223/tv/migu3.php?id=cctv1
38.43ms,CCTV1,https://t.freetv.fun/live/cctv1-3.php
422.40ms,CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8
